,bakery,brewery,tannery,wine press,oil press,ironworks,velvet,wool cloth,linen
Barrowton,120,212,319,220,432,342,607,272,-10
White Harbor,204,210,343,124,336,378,558,246,52
Sisterton,102,158,295,46,226,260,501,142,30
Lordsport,186,172,328,274,466,372,593,182,172
Gulltown,156,193,286,80,134,268,406,196,72
Fairmarket,60,180,418,202,294,304,-242,288,68
Saltpans,84,119,352,42,372,340,615,82,-42
Maidenpool,108,159,232,156,168,252,510,158,62
Kayce,156,208,364,34,256,344,582,216,96
Lannisport,60,142,292,8,264,162,575,26,92
Stoney Sept,126,187,295,160,346,598,563,188,-20
Duskendale,66,165,151,156,168,260,612,60,78
King’s Landing,78,165,238,66,156,280,587,186,44
Hull,132,174,322,12,232,272,477,250,102
Weeping Town,228,236,427,38,426,442,391,396,78
Tumbleton,54,182,319,90,144,72,560,150,-56
Ashford,168,167,322,246,348,310,558,212,128
Old Town,168,157,352,120,172,334,453,138,128
The Arbor,96,137,238,-142,144,160,161,140,102
Planky Town,180,213,352,98,340,388,548,266,70
Sunspear,72,150,220,40,278,206,541,76,100
