,bakery,brewery,tannery,wine press,oil press,ironworks,velvet,wool cloth,linen
Barrowton,138,209,337,202,404,344,605,286,-2
White Harbor,198,206,358,126,348,378,588,252,50
Sisterton,84,153,304,2,242,234,531,124,6
Lordsport,174,172,313,242,424,336,591,176,148
Gulltown,162,200,298,106,74,292,331,220,60
Fairmarket,132,196,412,190,338,482,76,302,72
Saltpans,90,136,325,54,346,352,596,106,-20
Maidenpool,138,174,274,124,202,284,401,196,72
Kayce,132,229,310,-56,156,234,611,210,66
Lannisport,168,174,403,114,374,386,590,176,114
Stoney Sept,168,197,349,174,294,398,534,248,122
Duskendale,54,174,139,162,182,274,402,50,110
King’s Landing,60,158,220,88,118,290,386,186,96
Hull,138,179,334,6,192,276,491,260,94
Weeping Town,216,229,403,32,404,420,371,362,72
Tumbleton,84,177,301,110,164,172,524,160,-20
Ashford,168,167,322,244,356,296,578,214,124
Old Town,144,155,325,98,164,298,415,130,116
The Arbor,102,141,256,-42,114,206,271,114,108
Planky Town,168,200,346,100,334,364,563,236,76
Sunspear,72,150,217,52,270,216,527,82,96
